DATE,Median_Sale_Price_House,Personal_Income_Per_Capita,Property_Tax,Nasdaqcom,Construction_Employment_Cost,Population,New_House_Units_Construction,CPI,Mortage_Rate,Unemployment_Rate,Household_Debt_Payment,Recession_Rate,S&PCase_Schiller_Index,Date_Quarter,Date_Year
2000-01-01,165300.0,29891.0,4911.0,4427.87,84.2,281304.33,992.33,2.41,8.26,4.03,11.58,0.1,101.34,1,2000
2000-04-01,163200.0,30318.0,4821.0,3747.22,84.4,282002.0,985.33,2.57,8.32,3.93,11.73,0.29,103.67,2,2000
2000-07-01,168800.0,30809.0,4803.0,3933.19,84.7,282768.67,975.0,2.84,8.02,4.0,11.88,0.93,105.79,3,2000
2000-10-01,172900.0,31093.0,4857.0,3026.41,84.9,283518.67,970.33,2.93,7.62,3.9,12.07,5.8,108.27,4,2000
2001-01-01,169800.0,31585.0,4984.0,2355.53,85.1,284168.67,991.33,2.95,7.01,4.23,12.17,22.37,110.48,1,2001
2001-04-01,179000.0,31640.0,5067.0,2079.63,86.1,284837.33,1011.67,3.13,7.13,4.4,12.39,33.4,112.2,2,2001
2001-07-01,172500.0,31504.0,5106.0,1876.21,86.8,285583.33,1014.0,3.29,6.96,4.83,12.33,31.14,114.16,3,2001
2001-10-01,171100.0,31391.0,5103.0,1826.93,87.4,286311.33,1005.0,3.56,6.77,5.5,12.68,16.83,115.87,4,2001
2002-01-01,188700.0,31480.0,5056.0,1882.8,88.0,286935.0,1004.67,3.53,6.97,5.7,12.46,2.05,117.89,1,2002
2002-04-01,187200.0,31755.0,5082.0,1645.78,88.5,287574.0,1017.67,3.4,6.81,5.83,12.36,0.33,120.72,2,2002
2002-07-01,178100.0,31830.0,5181.0,1309.96,89.2,288302.67,1022.0,3.16,6.29,5.73,12.37,0.54,123.83,3,2002
2002-10-01,190100.0,32037.0,5354.0,1341.83,90.1,289006.67,1030.0,2.86,6.08,5.87,12.34,0.61,126.68,4,2002
2003-01-01,186000.0,32135.0,5599.0,1351.66,90.9,289609.0,1045.67,2.71,5.84,5.87,12.36,0.81,129.32,1,2003
2003-04-01,191800.0,32416.0,5757.0,1521.92,92.2,290252.67,1051.33,2.36,5.51,6.13,12.3,0.33,131.76,2,2003
2003-07-01,191900.0,32778.0,5828.0,1765.2,93.0,290974.0,1100.33,2.2,6.03,6.13,12.14,0.07,135.01,3,2003
2003-10-01,198800.0,33168.0,5813.0,1934.08,93.5,291669.33,1158.67,2.06,5.92,5.83,12.22,0.08,138.83,4,2003
2004-01-01,212700.0,33435.0,5710.0,2038.82,94.5,292236.67,1202.33,2.05,5.6,5.7,12.22,0.07,143.3,1,2004
2004-04-01,217600.0,33921.0,5676.0,1985.0,95.4,292875.33,1228.0,2.29,6.11,5.6,12.16,0.33,148.21,2,2004
2004-07-01,213500.0,34311.0,5709.0,1872.1,96.5,293603.33,1244.0,2.25,5.89,5.43,12.27,0.07,152.72,3,2004
2004-10-01,228800.0,34939.0,5811.0,2051.77,96.7,294334.0,1270.67,2.28,5.74,5.43,12.28,0.06,157.54,4,2004
2005-01-01,232500.0,34895.0,5982.0,2055.02,97.4,294957.33,1311.67,2.28,5.77,5.3,12.62,0.07,163.48,1,2005
2005-04-01,233700.0,35381.0,6135.0,2013.21,98.5,295588.33,1325.0,2.27,5.71,5.1,12.62,0.05,169.35,2,2005
2005-07-01,236400.0,35843.0,6271.0,2149.53,99.7,296340.33,1357.0,2.3,5.76,4.97,12.67,3.67,174.58,3,2005
2005-10-01,243600.0,36393.0,6390.0,2178.67,100.0,297085.67,1392.0,2.41,6.23,4.97,12.69,0.03,179.54,4,2005
2006-01-01,247700.0,37296.0,6492.0,2288.8,100.7,297736.67,1423.33,2.51,6.25,4.73,12.72,0.09,183.32,1,2006
2006-04-01,246300.0,37726.0,6591.0,2235.78,101.9,298408.0,1397.67,2.83,6.6,4.63,12.77,0.13,184.0,2,2006
2006-07-01,235600.0,37940.0,6686.0,2140.82,103.0,299180.0,1339.67,3.18,6.56,4.63,12.89,0.09,182.82,3,2006
2006-10-01,245400.0,38323.0,6779.0,2388.65,103.6,299946.0,1265.0,3.19,6.24,4.43,12.98,0.09,183.65,4,2006
2007-01-01,257400.0,39035.0,6868.0,2442.85,104.7,300609.67,1205.0,3.14,6.21,4.5,13.01,0.13,184.42,1,2007
2007-04-01,242200.0,39504.0,6930.0,2553.36,105.9,301283.67,1168.67,2.79,6.36,4.5,13.05,0.21,181.62,2,2007
2007-07-01,241800.0,39665.0,6965.0,2606.67,106.9,302062.67,1125.0,2.5,6.55,4.67,13.16,0.55,178.26,3,2007
2007-10-01,238400.0,39992.0,6973.0,2704.68,107.6,302828.67,1078.33,2.62,6.22,4.8,13.29,3.59,175.37,4,2007
2008-01-01,233900.0,40426.0,6954.0,2334.31,108.9,303493.67,1026.67,2.68,5.87,5.0,13.19,43.11,171.58,1,2008
2008-04-01,235300.0,41473.0,6980.0,2425.36,110.1,304159.67,991.67,2.82,6.09,5.33,12.82,82.46,166.67,2,2008
2008-07-01,226500.0,40872.0,7051.0,2290.67,110.6,304902.33,931.67,3.06,6.32,6.0,12.88,98.49,161.95,3,2008
2008-10-01,222500.0,40434.0,7169.0,1604.35,110.9,305616.67,841.33,2.78,5.84,6.87,12.81,96.83,156.03,4,2008
2009-01-01,208400.0,39292.0,7331.0,1483.39,110.9,306236.67,752.0,2.52,5.06,8.27,12.7,99.88,150.06,1,2009
2009-04-01,220900.0,39357.0,7465.0,1733.01,111.2,306866.0,651.33,2.25,5.01,9.3,12.38,84.83,147.91,2,2009
2009-07-01,214300.0,39092.0,7569.0,1983.51,111.5,307572.67,591.67,1.77,5.16,9.63,12.25,1.56,148.24,3,2009
2009-10-01,219000.0,39344.0,7644.0,2162.91,111.7,308285.0,534.33,1.41,4.92,9.93,11.96,0.17,147.97,4,2009
2010-01-01,222900.0,39782.0,7691.0,2280.55,112.1,308901.67,495.33,1.05,5.0,9.83,11.67,0.04,146.3,1,2010
2010-04-01,219500.0,40428.0,7703.0,2342.06,112.3,309488.33,470.33,0.82,4.92,9.63,11.33,0.09,146.17,2,2010
2010-07-01,224100.0,40749.0,7681.0,2237.46,112.8,310148.0,442.0,0.7,4.45,9.47,11.14,0.09,143.98,3,2010
2010-10-01,224300.0,41141.0,7626.0,2536.13,112.7,310817.33,431.33,0.78,4.44,9.5,10.99,0.06,142.25,4,2010
2011-01-01,226900.0,42194.0,7537.0,2739.42,112.8,311376.0,425.0,1.09,4.85,9.03,10.8,0.15,140.62,1,2011
2011-04-01,228100.0,42474.0,7467.0,2764.9,113.6,311940.67,416.0,1.26,4.65,9.07,10.71,0.13,139.93,2,2011
2011-07-01,223500.0,42842.0,7416.0,2606.64,113.9,312606.33,416.0,1.6,4.29,9.0,10.59,0.05,139.24,3,2011
2011-10-01,221100.0,42963.0,7386.0,2600.91,114.5,313258.0,429.67,1.91,4.0,8.63,10.47,0.04,137.26,4,2011
2012-01-01,238400.0,43721.0,7374.0,2907.19,114.6,313813.33,449.67,2.09,3.92,8.27,10.26,0.19,137.01,1,2012
2012-04-01,238700.0,44062.0,7388.0,2926.48,115.2,314373.33,474.33,2.21,3.79,8.2,10.15,0.14,140.11,2,2012
2012-07-01,248800.0,43843.0,7427.0,3026.56,116.0,315030.33,498.67,2.22,3.55,8.03,10.22,0.22,142.29,3,2012
2012-10-01,251700.0,45257.0,7490.0,3001.66,116.3,315684.67,535.0,2.17,3.36,7.8,9.89,0.02,144.56,4,2012
2013-01-01,258400.0,43976.0,7572.0,3176.38,117.0,316195.33,578.67,2.1,3.5,7.73,10.26,0.03,148.19,1,2013
2013-04-01,268100.0,44318.0,7656.0,3368.01,117.6,316732.67,618.33,1.91,3.67,7.53,10.18,0.03,152.86,2,2013
2013-07-01,264800.0,44498.0,7742.0,3640.9,118.4,317396.0,651.67,1.89,4.44,7.23,10.14,0.11,156.93,3,2013
2013-10-01,273600.0,44674.0,7829.0,3957.08,118.6,318072.0,688.0,1.88,4.29,6.93,10.17,0.06,160.1,4,2013
2014-01-01,275200.0,45380.0,7919.0,4210.4,118.6,318644.33,717.67,1.81,4.36,6.67,10.1,0.05,162.51,1,2014
2014-04-01,288000.0,46022.0,8013.0,4195.81,119.1,319227.67,756.0,2.1,4.23,6.2,10.05,0.01,163.71,2,2014
2014-07-01,281000.0,46540.0,8111.0,4482.74,120.1,319918.33,793.33,2.01,4.14,6.07,10.02,0.05,165.23,3,2014
2014-10-01,298900.0,47085.0,8214.0,4600.94,120.7,320611.33,815.33,1.99,3.96,5.7,9.98,0.1,167.34,4,2014
2015-01-01,289200.0,47595.0,8321.0,4825.26,120.7,321168.33,834.33,1.99,3.72,5.53,10.0,1.01,169.19,1,2015
2015-04-01,289100.0,47963.0,8423.0,5030.17,121.6,321744.0,880.67,2.08,3.82,5.43,10.04,0.71,170.88,2,2015
2015-07-01,295800.0,48217.0,8519.0,4924.33,122.6,322427.67,922.67,2.2,3.95,5.1,10.1,0.44,172.96,3,2015
2015-10-01,302500.0,48375.0,8610.0,4998.14,123.4,323110.67,958.33,2.4,3.9,5.03,10.04,0.93,175.69,4,2015
2016-01-01,299800.0,48527.0,8696.0,4614.2,123.5,323689.0,979.0,2.51,3.74,4.9,10.0,0.56,177.7,1,2016
2016-04-01,306000.0,48682.0,8782.0,4845.71,124.6,324265.67,1008.0,2.56,3.59,4.93,10.11,0.19,179.43,2,2016
2016-07-01,303800.0,49059.0,8871.0,5168.89,124.9,324925.33,1036.33,2.64,3.45,4.9,10.16,0.06,181.84,3,2016
2016-10-01,310900.0,49504.0,8960.0,5309.89,125.8,325557.33,1050.67,2.54,3.84,4.77,10.13,0.18,184.74,4,2016
2017-01-01,313100.0,50168.0,9051.0,5736.32,126.6,326052.67,1068.0,2.6,4.17,4.57,10.08,0.13,187.37,1,2017
2017-04-01,318200.0,50684.0,9150.0,6095.44,127.3,326554.0,1073.0,2.18,3.98,4.37,10.04,0.05,189.62,2,2017
2017-07-01,320500.0,51193.0,9257.0,6343.13,128.3,327140.33,1083.67,2.11,3.88,4.33,10.03,0.11,192.63,3,2017
2017-10-01,337900.0,51864.0,9371.0,6758.38,128.8,327691.67,1102.67,2.14,3.92,4.17,10.03,0.05,195.98,4,2017
2018-01-01,331800.0,52439.0,9486.0,7253.85,129.7,328091.0,1111.67,2.22,4.28,4.03,9.97,0.14,199.17,1,2018
2018-04-01,315600.0,52986.0,9604.0,7355.94,131.1,328525.67,1127.0,2.53,4.54,3.93,9.92,0.12,201.44,2,2018
2018-07-01,330900.0,53636.0,9723.0,7874.58,131.8,329039.67,1130.33,2.47,4.57,3.77,9.9,0.13,203.65,3,2018
2018-10-01,322800.0,54177.0,9844.0,7215.11,132.4,329521.67,1144.33,2.45,4.78,3.83,9.93,0.27,205.65,4,2018
2019-01-01,313000.0,55007.0,9966.0,7343.62,133.4,329868.33,1139.0,2.39,4.37,3.87,9.9,0.82,206.82,1,2019
2019-04-01,322500.0,55363.0,10082.0,7876.67,134.7,330245.33,1132.33,2.41,4.01,3.63,9.95,0.45,208.1,2,2019
2019-07-01,318400.0,55662.0,10191.0,8067.46,136.4,330728.67,1152.0,2.57,3.66,3.63,9.97,0.37,210.09,3,2019
2019-10-01,327100.0,56122.0,10293.0,8445.71,137.0,331208.0,1167.33,2.75,3.7,3.6,9.97,0.81,212.84,4,2019
2020-01-01,329000.0,56630.0,10388.0,8771.73,137.6,331534.0,1207.67,2.75,3.52,3.8,9.9,33.42,215.75,1,2020
2020-04-01,322600.0,60847.0,10480.0,9091.0,139.1,331699.0,1185.33,2.12,3.24,12.97,8.93,33.38,217.14,2,2020
2020-07-01,337500.0,59793.0,10570.0,10926.83,139.7,331871.67,1210.67,2.24,2.95,8.83,9.19,0.03,222.54,3,2020
2020-10-01,358700.0,59374.0,10657.0,11954.43,140.3,332045.0,1246.0,1.79,2.76,6.77,9.37,0.08,233.15,4,2020
2021-01-01,369800.0,66756.0,10741.0,13351.46,141.3,331989.0,1292.0,1.58,2.88,6.2,8.31,0.0,242.46,1,2021
2021-04-01,382600.0,63363.0,10854.0,13847.63,143.3,332149.33,1343.33,2.49,3.0,5.93,9.13,0.13,253.61,2,2021
2021-07-01,411200.0,63578.0,10994.0,14839.97,143.9,332480.33,1412.0,2.43,2.87,5.13,9.36,0.17,266.68,3,2021
2021-10-01,423600.0,63957.0,11163.0,15390.79,145.2,332786.0,1494.33,3.24,3.08,4.2,9.49,0.11,277.43,4,2021
2022-01-01,433100.0,64300.0,11361.0,14000.62,146.1,332977.67,1588.33,4.28,3.82,3.8,9.72,0.13,291.17,1,2022
2022-04-01,449300.0,64982.0,11533.0,12195.24,149.0,333320.33,1679.0,5.04,5.27,3.6,9.79,0.33,303.02,2,2022
2022-07-01,468000.0,65964.0,11680.0,11891.07,150.2,333799.67,1694.33,6.0,5.62,3.57,9.83,0.09,301.57,3,2022
2022-10-01,479500.0,66633.0,11802.0,10871.38,151.4,334282.67,1700.33,6.48,6.66,3.6,9.89,1.11,298.18,4,2022
2023-01-01,429000.0,67666.0,11905.0,11481.44,153.3,334641.0,1687.0,6.53,6.37,3.5,9.71,0.15,297.73,1,2023
2023-04-01,418500.0,68259.0,11982.0,12676.76,155.1,335018.67,1686.33,5.98,6.51,3.57,9.69,0.22,302.46,2,2023
2023-07-01,431000.0,68811.0,12095.0,13828.74,156.3,335501.67,1690.0,5.23,7.04,3.7,9.78,0.2,309.03,3,2023
